gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
TRPT1,-0.011865524996797546,-0.4043278373878685,0.6860461287770646,0.14462371,0.15009362,0.9504855590478102,60
C2CD2L,-0.011865012981295532,-0.4043103875683538,0.6860589553753464,0.20907114,0.22563282,0.9504855590478102,60
CEPT1,-0.011863826421327441,-0.40426994883831713,0.6860886804632792,-0.18359031,-0.18571995,0.9504855590478102,60
PSME3,-0.011856110857318681,-0.40400699747555785,0.6862819786204193,-0.123315625,-0.12231804,0.9504855590478102,60
SH3GL1,-0.011850043672777042,-0.40380022399141574,0.6864339942958176,0.0075230747,-0.00502792,0.9504855590478102,60
THOC1,-0.011846190053911161,-0.40366889024782465,0.6865305547992198,-0.9786206,-0.9863279,0.9504855590478102,60
GDF3,-0.01184462816850028,-0.40361566022029294,0.6865696925694244,0.14830588,0.15034106,0.9504855590478102,60
NKAPL,-0.011834334446922484,-0.403264843851967,0.6868276539342287,0.054851793,0.07355742,0.9506014829378738,60
YIPF7,-0.01182676404828812,-0.4030068400879023,0.6870173918890659,0.25325385,0.26013952,0.9507220737134104,60
SLCO4C1,-0.011819008324707093,-0.40274252040944514,0.6872117950904894,0.14612865,0.14938508,0.9507780927894474,60
ZNF337,-0.011815922712933745,-0.40263736094283237,0.6872891440774069,0.25828865,0.25950092,0.9508141193653176,60
COL15A1,-0.011791612701013714,-0.4018088618204807,0.687898652836576,0.090641595,0.11180558,0.9510856124727587,60
RLN3,-0.011789873607923116,-0.4017495925597489,0.6879422637287577,0.062379614,0.08530011,0.9510856124727587,60
SLC39A6,-0.011789672489893214,-0.4017427383455568,0.6879473071925345,0.14798047,0.16307844,0.9510856124727587,60
APOOL,-0.01178761474399823,-0.40167260922505665,0.6879989103584372,0.11965109,0.12991193,0.9510859983477956,60
CLCNKB,-0.011781932231371674,-0.4014789460720108,0.6881414212232849,0.14618856,0.15666305,0.9511465288527824,60
KRT10,-0.011775686805228221,-0.40126609856184314,0.6882980620679241,-0.16981187,-0.15154408,0.9511465288527824,60
NAPA,-0.011767589086518883,-0.400990123986366,0.6885011799397283,-1.1204641,-1.1061606,0.9511465288527824,60
GNG10,-0.0117669853733415,-0.4009695491222321,0.6885163239845112,0.08167077,0.07832138,0.9511465288527824,60
ZNF300,-0.011758028511624604,-0.40066429459292846,0.6887410200199098,0.30310157,0.29699376,0.9511465288527824,60
PADI4,-0.011752854513894573,-0.4004879620896592,0.6888708298555873,0.22217283,0.24040855,0.9511465288527824,60
BPNT1,-0.011748634386097327,-0.40034413798803165,0.6889767149334757,-0.10516499,-0.08395226,0.9511465288527824,60
PLP1,-0.01174552656981458,-0.40023822204220444,0.689054695460577,0.25829235,0.269433,0.9511465288527824,60
MTHFR,-0.011735180107332778,-0.399885609467882,0.6893143300109932,0.24547987,0.24048348,0.9512652945627915,60
CSNK2A2IP,-0.01172930149742818,-0.3996852635831545,0.6894618643692343,0.033424225,0.03660914,0.9512652945627915,60
TLE4,-0.011725429598765698,-0.3995533074162038,0.6895590431174811,0.21819921,0.23321797,0.9512652945627915,60
VAV1,-0.011718590270814124,-0.39932021987707894,0.6897307123074475,0.07705046,0.0845991,0.9513509363430822,60
CSRNP1,-0.011711479962068961,-0.3990778972434626,0.6899092001065958,0.17494091,0.17974126,0.9513846842666563,60
PSTPIP2,-0.011693529358732954,-0.3984661325906755,0.6903598849781638,0.22376366,0.23092185,0.951466150071778,60
