gene,t,p,fdr,eff_flag,eff_rest
LIFR,0.6550283021234885,0.5125776316860026,0.9360077627120618,0.119326934,0.11111933
LIG1,1.1275573540156791,0.25973690474835176,0.8661480262536813,-0.12677985,-0.17056203
LIG3,0.7772365368768184,0.43717554533092623,0.9195481528406726,-0.13291414,-0.13926612
LIG4,0.6208119352892558,0.5348436666380701,0.9422335219294519,0.099007525,0.0904732
LILRA1,0.690520755343995,0.49000302198041584,0.9281239763949118,0.28779313,0.2792701
LILRA2,-0.893250918671439,0.37190556877934183,0.9046874991116894,0.32582754,0.333053
LILRA4,-1.3987093145595024,0.16216383235660825,0.7913794000147327,0.095361486,0.10913958
LILRA5,-1.1825646247985,0.23722077299565056,0.8493559525419769,0.07960073,0.09173382
LILRA6,0.34071056972563174,0.7333823359252633,0.9735608499940626,0.29878926,0.29879972
LILRB1,0.6194791222608056,0.535720766430735,0.942570088452297,0.23489554,0.2318795
LILRB2,1.4259023447641037,0.15416191623438413,0.7813008533413947,0.08132003,0.06542888
LILRB3,-0.04384971476475855,0.9650316425783693,0.9959867137657873,0.31223235,0.31911686
LILRB4,-0.3383147118039168,0.7351864265076911,0.9735608499940626,0.14433603,0.14755993
LILRB5,0.8233470766948797,0.4104775811156413,0.9114807153724154,0.14887045,0.13354623
LIM2,-0.45054959252995713,0.6523972546921141,0.9660265650452834,0.23019066,0.23090377
LIMA1,-0.11373307069263744,0.9094688086750329,0.9904757021094086,0.12887987,0.13118717
LIMCH1,-0.2960920349170531,0.7672120735508464,0.9773963244170724,0.19210604,0.18899196
LIMD1,-1.862566324219347,0.06277251484191039,0.6387191743662471,0.069033,0.08766289
LIMD2,0.11456260552632053,0.9088113770487743,0.9904757021094086,-0.099228494,-0.11558669
LIME1,-0.22337216209564628,0.8232846624847789,0.9845353041150159,0.17853636,0.17749095
LIMK1,0.9548224619049733,0.3398637104300378,0.8958882372533875,0.11672281,0.10552856
LIMK2,-1.2631559753647148,0.2067835057058009,0.8282653161668515,0.21281204,0.22672965
LIMS1,-0.6109981155287835,0.5413189021015637,0.9444861986075503,0.23871425,0.24992804
LIMS2,-0.7967390792170195,0.4257633992457576,0.916677505912797,0.12024792,0.13728204
LIN28A,-0.1764879749808907,0.8599409826867381,0.9873039265087746,0.030162308,0.037031565
LIN28B,1.3374605025766149,0.18133097547261948,0.8065876875859604,0.1022297,0.077845745
LIN37,-0.7620464531058804,0.4461850829370187,0.9222000756599972,-0.088995166,-0.072292104
LIN52,-1.0625240654439665,0.28821597753863476,0.884077448830478,-0.4160145,-0.39514935
LIN54,-0.702072931932866,0.48277260804191985,0.9267565588128435,-0.22151235,-0.19087557
LIN7A,0.688994986996649,0.4909623300976843,0.9281576641579281,0.15607738,0.15235928
LIN7B,-0.17494078700683907,0.8611562746442897,0.9873039265087746,0.107117176,0.11142866
LIN7C,0.7311018142858404,0.46486260619234226,0.9252647254759064,-0.090768814,-0.09129393
LIN9,-1.3240147708777956,0.18575542511948118,0.8100343777468703,-0.14670017,-0.1272082
LINGO1,0.2857629601743491,0.775110004610456,0.9777566979706672,0.09945878,0.09966671
LINGO2,0.8231611495619127,0.41058324749539554,0.9114807153724154,0.2563892,0.2476192
LINGO3,-0.5520808448775055,0.5809978642422409,0.9523866695836402,0.14143859,0.15031193
LINGO4,0.1272064782502543,0.8987987248050628,0.9904757021094086,0.14034927,0.1404422
LINS1,-0.015424837948876004,0.9876958643326872,0.9987363870776979,0.14401436,0.14030583
LIPA,0.5445547729095623,0.5861630076011402,0.9535064283792922,0.15292291,0.15188074
LIPC,-2.0804823312608622,0.03769737961753204,0.5787809981221754,0.23967277,0.25079247
LIPE,-0.02513024224676628,0.9799553414112906,0.9980961030196431,0.095297046,0.09356966
LIPF,0.23968257853831937,0.8106181097945419,0.9838819966941742,0.1565763,0.15952805
LIPG,0.07386164753689899,0.9411330342685368,0.9931352808427675,0.25160113,0.24473834
LIPH,-1.7701559049390478,0.07696022931086342,0.673180749564061,0.163375,0.18546268
LIPI,-0.4449694006465929,0.6564237534936408,0.9662646431380623,0.13608958,0.13692869
LIPJ,-0.11284971818686365,0.9101689606880651,0.9904757021094086,0.16745093,0.17252812
LIPK,-0.4720968853639993,0.6369452213033716,0.9634810879210404,0.15773185,0.16215676
LIPM,-0.6932081422397334,0.4883158188182728,0.9278229827114505,0.027992537,0.036531936
LIPN,-0.055376818859554325,0.9558476696522439,0.9946987543333202,0.21188222,0.21953648
LIPT1,1.6850831558368835,0.09223784203273663,0.698796448503499,0.006515699,-0.042721845
LIPT2,-0.2976994389750504,0.765985153393992,0.9770625834284906,0.123668306,0.1225636
LITAF,1.155218261924012,0.2482357229074522,0.8568545033469934,0.2016349,0.18212897
LIX1,-0.9279508211712821,0.35362349243597546,0.8997422821654353,0.12746826,0.13478397
