gene,mean_PTENdef,mean_PTENwt,diff,t,n_def,n_wt,p,fdr
MTMR11,0.058037287143914325,0.0641978088287376,-0.006160521684823277,-0.5245314092424372,240,876,0.599908979607748,0.8724272088829459
MTMR12,0.12538415542293793,0.14456017705055982,-0.019176021627621886,-1.6042144740257882,240,876,0.1086667853704335,0.5013193664424278
MTMR14,0.13943965382393783,0.11767482136012662,0.02176483246381121,1.7900927243369422,240,876,0.07343900624982959,0.43616239697667797
MTMR2,0.1963927307571445,0.18390960540320422,0.012483125353940278,1.15563992572371,240,876,0.24782846991496854,0.6710062616300545
MTMR3,0.07758036749926832,0.06650698333889583,0.011073384160372485,0.9781418464468746,240,876,0.3280041736219981,0.7359733374782782
MTMR4,-0.08315570414232366,-0.09629611144618033,0.013140407303856669,0.9888799776331854,240,876,0.32272186784756474,0.7326819746021991
MTMR6,0.006681116534062918,0.06267930282623081,-0.05599818629216789,-3.39453613902103,240,876,0.0006874496637398754,0.07399435708841971
MTMR7,0.2143351384791593,0.2246036196026097,-0.010268481123450385,-1.0518321882071793,240,876,0.2928765482878636,0.7102377155049865
MTMR8,0.19564109666983545,0.2119833702214644,-0.016342273551628955,-1.6877063069012435,240,876,0.09146762052134998,0.4707379131238933
MTMR9,0.12265683946877827,0.14284834333977742,-0.020191503870999147,-1.2871999271466876,240,876,0.1980246126549705,0.62284831741833
MTNAP1,0.10000686620665172,0.12098637131994229,-0.020979505113290567,-2.3221780467937907,240,876,0.02022335056298351,0.2768982365735205
MTNR1A,0.1478909811940648,0.1685575850085854,-0.020666603814520595,-2.725112960477315,240,876,0.006427949096418229,0.17946053109341334
MTNR1B,0.16168885105773556,0.15001474903766507,0.011674102020070493,1.0501778006880662,240,876,0.29363637397681985,0.7109771605070163
MTO1,0.010405521330984272,-0.011709044666802459,0.02211456599778673,1.634456298760165,240,876,0.1021630752209855,0.4893157421924832
MTOR,-1.1922379490690027,-1.1646264122517158,-0.027611536817286897,-0.9944599568417822,240,876,0.319998990923003,0.7310975726298048
MTPAP,-0.6707119098414083,-0.6436026068471941,-0.027109302994214213,-0.9467417133486199,240,876,0.34377040913193835,0.7463676236423605
MTPN,0.23558380968430143,0.23682065521948037,-0.0012368455351789431,-0.12217256311687873,240,876,0.9027623551152933,0.972801456871744
MTR,0.054805039908869764,0.04161853611759673,0.013186503791273035,0.8379691800531547,240,876,0.4020480131056653,0.7807588890085302
MTRES1,-0.016045016089333203,0.007889195754288253,-0.023934211843621454,-2.507098765220211,240,876,0.012172669364605558,0.23063973083095077
MTREX,-1.4812890829397747,-1.476683144926116,-0.004605938013658717,-0.1759129763660102,240,876,0.8603623106628786,0.9618232618243994
MTRF1,0.0018760462891143253,0.012573003742613486,-0.01069695745349916,-0.8970183372593568,240,876,0.36970913221723467,0.7623399142321304
MTRF1L,-0.2514444676446845,-0.25582281101251536,0.004378343367830884,0.21350206192060914,240,876,0.8309353810146298,0.953757160139761
