gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
ZNF292,-0.03550727461363027,-1.2106187433397515,0.22628794920396816,0.15675391,0.17123422,0.6592268490329719,118
STK3,-0.03549898587920278,-1.210335782733682,0.2263964225724199,-0.115612,-0.083744936,0.6593962526320347,118
DIAPH2,-0.03549334804124625,-1.2101433185071444,0.22647022524210886,0.13525778,0.14817202,0.6593962526320347,118
TMEM161A,-0.035493121054160914,-1.2101355696359473,0.2264731969976957,0.019436486,0.038229804,0.6593962526320347,118
ELF3,-0.0354881275098363,-1.2099651003735103,0.22653858040357258,0.110654265,0.11659252,0.6593962526320347,118
LDHA,-0.035486522421920616,-1.209910306015213,0.22655959961729885,-0.050994266,-0.035269603,0.6593962526320347,118
KCNV2,-0.035475475929017605,-1.209533202009854,0.22670429517119406,0.23291366,0.24002334,0.6596101890119951,118
HCN4,-0.03546033878736214,-1.209016452591288,0.2269026801139807,0.18561651,0.20057546,0.6597998244698104,118
NXPE1,-0.035454894616074456,-1.2088306005111806,0.2269740607692918,0.21241537,0.24568713,0.6597998244698104,118
ENTPD8,-0.03545420505899332,-1.2088070605508727,0.22698310296233562,0.06371905,0.09032582,0.6597998244698104,118
COIL,-0.03544773054736455,-1.2085860350654014,0.22706801603756555,-0.23695566,-0.21661565,0.6599431313036586,118
SLC25A26,-0.03543348236121696,-1.208099634087718,0.22725496033905582,-0.34091768,-0.32456598,0.6602130065769701,118
GPM6B,-0.035427079131308735,-1.2078810424836863,0.22733901003548898,0.21890776,0.23665692,0.6602130065769701,118
GLIPR2,-0.035414210265100096,-1.2074417293147726,0.22750799551171447,0.09356471,0.10894237,0.6604733165553591,118
ADAP2,-0.035392562986765685,-1.2067027429245218,0.22779245498514988,-0.03371363,0.01146349,0.6607015156252641,118
RDH12,-0.03537885708595703,-1.2062348570789077,0.22797269034545703,0.24614912,0.2609714,0.6609139431776696,118
GRM8,-0.035368255333579166,-1.205872939716554,0.22811217511196616,0.123506755,0.1349043,0.6610953552988824,118
ZNF860,-0.035365338980708406,-1.2057733827807662,0.2281505555280977,0.12775756,0.14685273,0.6610953552988824,118
BAK1,-0.035355454896703796,-1.2054359652969466,0.22828066835244926,-0.24062997,-0.21636294,0.6610953552988824,118
LYPD5,-0.03534940025931501,-1.205229275553807,0.22836039689384546,0.19354472,0.21161069,0.6611070949601391,118
UBQLN2,-0.03533609916951523,-1.2047752110355272,0.2285356175540588,0.19564748,0.21310979,0.6614077040284653,118
ABRAXAS2,-0.03531460718515695,-1.2040415320924125,0.22881894222609936,0.29501727,0.30801886,0.661753174532592,118
OTUD7A,-0.035313583028129654,-1.2040065701486788,0.2288324497212668,0.107053176,0.12923071,0.661753174532592,118
LMX1B,-0.035310792900495235,-1.2039113227764189,0.22886925128591992,0.23741011,0.23372757,0.661753174532592,118
H2AJ,-0.03530035866287089,-1.2035551265200002,0.22900691535407972,-0.20735066,-0.1920853,0.6618981394188732,118
